lat,classic,architecture,comfort,number_of_levels_basement_excl,interior design,town,price_detail,modern,barn,parquet,garage,yard,landscape,fireplace,patio,living_space_area_basement_excl,sold_in,villa,scenic,building_dimensions,long,minimalist,address,number_of_bathrooms,hotel,suburb,porch,total_number_of_rooms,environment,swimming pool,travel,number_of_bedrooms,gazebo,pool,url,flora,luxury,contemporary,mansion,lot_dimensions,year_sold,month_sold,pavement,old,municipal_assessment,asking_price,final_amount,property_style,backyard_faces,number_of_half_baths,year_of_construction,bathroom_details,bedroom_details,located_on_which_floor_if_condo,ownership,number_of_exterior_parking
45.5919632,0,1,0,1,1,St-Leonard,,0,0,0,1,1,0,0,0,116.13,70,0,0,12.19,-73.60751820000002,0,8995 rue Claudel,1,1,1,1,,0,0,0,3,0,1,http://duproprio.com//home-for-sale-st-leonard-quebec-en-600762,0,1,1,0,30.48,2015,6,0,0,,,,,,,1956,,,,,
45.54366774433131,0,1,0,3,1,Rosemont / La Petite Patrie,negotiable,0,0,1,0,0,0,0,0,182.55,73,0,0,1.44,-73.5678448893799,1,4682 avenue 2e,2,0,0,0,7,0,0,0,4,0,0,http://duproprio.com//house-for-sale-rosemont-petite-patrie-quebec-en-599854,0,1,1,0,0,2015,6,0,0,,,,new_construction,south,1,2015,,,,,
45.6471343,0,1,0,1,1,Pointe-Aux-Trembles / East Montreal,completely_renovated,0,0,0,0,0,0,1,0,111.48,169,0,0,12.8,-73.50843199999997,0,1851 avenue 17e,2,0,0,0,8,0,0,0,4,0,0,http://duproprio.com//home-for-sale-pointe-aux-trembles-quebec-en-566921,0,1,1,0,510.97,2015,6,0,0,,354900,350000,detached,north_east,,1968,2_douches_en_cï¿½ramique_et_bain_autoportant,chambre_des_maï¿½tres_avec_walk_in,,,
45.63684629999999,0,1,0,1,1,Pointe-Aux-Trembles / East Montreal,new_price,1,0,0,0,0,0,0,1,130.99,2144,0,0,148.64,-73.49848880000002,0,855 avenue 4e,1,1,0,0,10,0,0,1,3,0,0,http://duproprio.com//home-for-sale-pointe-aux-trembles-quebec-en-138388,0,1,1,0,410.63,2015,6,0,0,323500,339900,333000,detached,east,1,1971,,,,,
45.4703133,0,1,1,2,1,South-West Montreal,completely_renovated,0,0,0,0,1,0,0,1,176.52,8,0,0,11.58,-73.5944723,0,5225 rue Turcot,2,0,0,1,7,0,0,0,4,0,0,http://duproprio.com//home-for-sale-montreal-sud-ouest-quebec-en-608406,0,1,1,0,20.12,2015,6,0,0,,489000,489000,semi_detached,north_west,,1903,,,,,
45.4444226,0,1,0,2,1,Pointe-Claire,by_appointment,0,0,0,0,0,0,0,0,204.39,226,1,0,116.87,-73.82109639999999,0,296 avenue Hickory,2,1,0,0,11,0,1,1,4,0,1,http://duproprio.com//home-for-sale-pointe-claire-quebec-en-562965,0,1,1,0,1137.04,2015,6,0,0,,,,executive,north_east,1,1988,salle_de_bain_exï¿½cutive_douche_et_jacuzzi_avec_salle_de_bain_enfant,chambre_de_maï¿½tre_attrayante_et_3_chambres_d_enfant_confortables,,,
45.5494169,0,1,0,2,1,Villeray / St-Michel / Parc-Extension,negotiable,0,0,1,0,0,0,0,0,162.58,300,0,0,62.71,-73.60301140000001,1,7033 avenue de Lorimier,2,0,0,0,8,0,0,1,3,0,0,http://duproprio.com//house-for-sale-villeray-st-michel-parc-extension-quebec-en-532680,0,1,1,0,102.5,2015,6,0,1,,,,undivided_co_ownership,east,,2013,salle_de_bain_spectaculaire_ï¿½_l_ï¿½tage_ï¿½clairï¿½e_ï¿½_travers_un_verre_givrï¿½_par_le_puits_de_lumiï¿½re_de_la_piï¿½ce_centrale_murs_tuiles_de_porcelaine_et_plancher_mosaï¿½que_douche_pluie_et_douche_coulissante_sur_rail_paroi_de_verre_pleine_hauteur_9_pi_lavabo_suspendu_robinetterie_au_mur_salle_de_bain_du_sous_sol_ï¿½quipï¿½e_d_un_bain_maax_rubik_longueur_5_pi,2_chambres_ï¿½_l_ï¿½tage_hauteur_9_pi_planchers_ï¿½rable_chacune_comprenant_un_large_placard_avec_portes_coulissantes_fenï¿½tre_mesurant_8_x_8_pi_dans_la_chambre_des_maï¿½tres_3e_chambre_au_sous_sol_hauteur_6_pi_7_po_plancher_flottant,,,
45.5920467,0,1,0,2,1,Anjou,completely_renovated,0,0,0,0,0,0,0,0,111.95,27,0,0,6.4,-73.55359529999998,0,6350 avenue Des Jalesnes,1,1,0,1,6,0,0,0,2,0,0,http://duproprio.com//house-for-sale-anjou-quebec-en-595837,0,1,1,0,147.72,2015,6,0,0,,378000,367000,open_area,south_west,1,1973,,,,,
45.5977636,0,1,0,1,1,Mercier / Hochelaga / Maisonneuve,,0,0,1,0,1,0,1,0,85.94,41,0,0,85.94,-73.53241159999999,1,8105 de Teck,1,0,1,1,8,0,0,0,4,0,0,http://duproprio.com//home-for-sale-mercier-hochelaga-maisonneuve-quebec-en-600824,0,1,1,0,407.66,2015,6,0,0,428100,369500,369500,,north_west,1,1952,,,,,
45.6050005,0,0,0,1,1,Mercier / Hochelaga / Maisonneuve,available_now,0,0,1,0,1,0,1,1,88.26,7,0,0,7.62,-73.5321169,0,8716 rue Forbin-Janson,1,1,0,0,8,1,0,0,2,0,0,http://duproprio.com//home-for-sale-mercier-hochelaga-maisonneuve-quebec-en-620282,1,1,1,0,27.43,2015,6,1,0,216000,249000,245000,semi_detached,south_east,,1952,,,,,
